Symbol,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Active,Description,Homepage URL,Timestamp
LITB,LITB,"LightInTheBox Holding Co., Ltd.",20590711,USD,20590711,20590711,USD,true,"LightInTheBox Holding Co., Ltd. operates as a cross-border e-commerce platform that delivers products directly to its customers worldwide. The company provides customized, special occasion, and fast fashion apparel products; and other general merchandise products, such as accessories and gadgets, home garden products, toys and hobbies, electronics and communication devices, and other products. It also offers supplier chain management, research and development, customer, marketing, administrative and general support, logistic, warehouse management, and local delivery services, as well as engages in the product sourcing, marketing, and operation of its websites and mobile applications. The company provides its products through www.lightinthebox.com, www.miniinthebox.com, www.ezbuy.com, and other websites and mobile applications, which are available in 25 languages and cover approximately 140 countries and regions. LightInTheBox Holding Co., Ltd. was founded in 2007 and is headquartered in Shanghai, the People's Republic of China.",https://www.lightinthebox.com,
MGOL,MGOL,MGO Global Inc. Common Stock,4508092,USD,4508092,4508092,USD,true,"MGO Global, Inc. operates as a lifestyle brand portfolio company. The company is involved in the fashion design, brand development and management, sourcing and manufacturing, licensing, IP protection, corporate finance, consumer engagement and experience, ecommerce, and retail sales and marketing activities related to the Messi brand. It offers t-shirts and sweatshirts, jackets, polos, and pants for men; and t-shirts for women and kids, as well as bathrobes, graphic beach towels, rugs, posters, and keychains. The company was founded in 2018 and is headquartered in Fort Lauderdale, Florida.",https://www.mgoglobalinc.com,
