Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
URBN,"Urban Outfitters, Inc.",6900648858.00,6900648858.00,0.00,0.00,39,39,0,0.3274,0.3274
WWW,"Wolverine World Wide, Inc.",2496135168.00,2496135168.00,0.00,0.00,61,61,0,0.1184,0.1184
3998.HK,Bosideng International Holdings Limited,6909356743.08,6909356743.08,0.00,0.00,38,38,0,0.3278,0.3278
ROST,"Ross Stores, Inc.",48161204750.00,48161204750.00,0.00,0.00,11,11,0,2.2847,2.2847
1913.HK,Prada S.p.A.,13438562447.29,13438562447.29,0.00,0.00,25,25,0,0.6375,0.6375
8016.T,"Onward Holdings Co., Ltd.",598020992.76,598020992.76,0.00,0.00,99,99,0,0.0284,0.0284
FIGS,"FIGS, Inc.",1162503675.00,1162503675.00,0.00,0.00,78,78,0,0.0551,0.0551
600612.SS,"Lao Feng Xiang Co., Ltd.",2848540737.93,2848540737.93,0.00,0.00,57,57,0,0.1351,0.1351
DOCS,"Doximity, Inc.",12696103115.00,12696103115.00,0.00,0.00,26,26,0,0.6023,0.6023
ADS.DE,adidas AG,35830191195.85,35830191195.85,0.00,0.00,12,12,0,1.6997,1.6997
HBI,Hanesbrands Inc.,2250002640.00,2250002640.00,0.00,0.00,62,62,0,0.1067,0.1067
GWI2.DE,GERRY WEBER International AG,29165.35,29165.35,0.00,0.00,151,151,0,0.0000,0.0000
ARVIND.NS,Arvind Limited,880138272.66,880138272.66,0.00,0.00,86,86,0,0.0418,0.0418
LANV,Lanvin Group Holdings Limited,265798810.00,265798810.00,0.00,0.00,113,113,0,0.0126,0.0126
MONC.MI,Moncler S.p.A.,15297016994.98,15297016994.98,0.00,0.00,23,23,0,0.7257,0.7257
GIII,"G-III Apparel Group, Ltd.",1168823542.00,1168823542.00,0.00,0.00,76,76,0,0.0554,0.0554
HM-B.ST,H & M Hennes & Mauritz AB (publ),24351845583.89,24351845583.89,0.00,0.00,14,14,0,1.1552,1.1552
