Symbol,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE,Timestamp
DDS,"Dillard's, Inc.",6951014000,USD,6951014000,6951014000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
LEVI,Levi Strauss & Co.,6888635947,USD,6888635947,6888635947,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CROX,"Crocs, Inc.",6467308380,USD,6467308380,6467308380,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
GPS,"The Gap, Inc.",6292475312,USD,6292475312,6292475312,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1640995199
ATZ.TO,Aritzia Inc.,6004571840,USD,6004571840,6004571840,TSX,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
PVH,PVH Corp.,5900850000,USD,5900850000,5900850000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",5125500000,USD,5125500000,5125500000,SHZ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
URBN,"Urban Outfitters, Inc.",5063809595,USD,5063809595,5063809595,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
JD.L,JD Sports Fashion plc,4980038113,USD,4980038113,4980038113,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
COLM,Columbia Sportswear Company,4849895050,USD,4849895050,4849895050,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
KTB,"Kontoor Brands, Inc.",4733507610,USD,4733507610,4733507610,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
M,"Macy's, Inc.",4713312000,USD,4713312000,4713312000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
BOOT,"Boot Barn Holdings, Inc.",4632028200,USD,4632028200,4632028200,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
JWN,"Nordstrom, Inc.",3960600000,USD,3960600000,3960600000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
UA,"Under Armour, Inc.",3578822999,USD,3578822999,3578822999,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
BRBY.L,Burberry Group plc,3497624380,USD,3497624380,3497624380,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
VSCO,Victoria's Secret & Co.,3272180000,USD,3272180000,3272180000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
AEO,"American Eagle Outfitters, Inc.",3194472100,USD,3194472100,3194472100,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
UNF,UniFirst Corporation,3060800100,USD,3060800100,3060800100,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
SHOO,"Steven Madden, Ltd.",3010671120,USD,3010671120,3010671120,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
HBI,Hanesbrands Inc.,2866150980,USD,2866150980,2866150980,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
0709.HK,Giordano International Limited,2712452403,USD,2712452403,2712452403,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
