Symbol,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Active,Description,Homepage URL,Timestamp
RVLV,RVLV,"Revolve Group, Inc.",2224701600,USD,2224701600,2224701600,USD,true,"Revolve Group, Inc. operates as an online fashion retailer for consumers in the United States and internationally. The company operates in two segments, REVOLVE and FWRD. It operates a platform that connects consumers and global fashion influencers, as well as emerging, established, and owned brands. The company offers women's apparel, footwear, accessories, and beauty styles under established and emerging brands, as well as owned brands. It also provides various luxury brands. The company was formerly known as Advance Holdings, LLC and changed its name to Revolve Group, Inc. in October 2018. Revolve Group, Inc. was founded in 2003 and is headquartered in Cerritos, California.",https://www.revolve.com,
SVV,SVV,"Savers Value Village, Inc.",1787783403,USD,1787783403,1787783403,USD,true,"Savers Value Village, Inc. sells second-hand merchandise in retail stores in the United States, Canada, and Australia. It operates stores under the Savers, Value Village, Village des Valeurs, Unique, and 2nd Avenue banners. The company purchases secondhand textiles, including clothing, bedding, and bath items; shoes; accessories; housewares; books; and other goods from non-profit partners, then processes, selects, prices, merchandises, and sells them in its stores. It serves retail and wholesale customers. The company was formerly known as S-Evergreen Holding LLC and changed its name to Savers Value Village, Inc. in January 2022. Savers Value Village, Inc. was founded in 1954 and is based in Bellevue, Washington.",https://www.savers.com,
CURV,CURV,Torrid Holdings Inc.,687205920,USD,687205920,687205920,USD,true,"Torrid Holdings Inc. operates in women's plus-size apparel and intimates market in North America. The company designs, develops, and merchandises its products under the Torrid and Torrid Curve brand names. It is involved in the sale of tops, bottoms, dresses, denims, activewear, intimates, sleep wear, swim wear, and outerwear products; and non-apparel products comprising accessories, footwear, and beauty products. The company sells its products directly to consumers through its e-commerce platform and its physical stores. As of January 29, 2022, it operated 624 stores in 50 U.S. states, Puerto Rico, and Canada. Torrid Holdings Inc. was incorporated in 2019 and is headquartered in City of Industry, California.",https://www.torrid.com,
JILL,JILL,"J.Jill, Inc.",426463120,USD,426463120,426463120,USD,true,"J.Jill, Inc. operates as an omnichannel retailer for women's apparel under the J.Jill brand in the United States. The company offers knit and woven tops, bottoms, and dresses, as well as sweaters and outerwear; footwear; and accessories, including scarves, jewelry, and hosiery. The company markets its products through retail stores, website, and catalogs. As of March 22, 2022, it operated 253 stores. The company was founded in 1959 and is headquartered in Quincy, Massachusetts.",https://www.jjill.com,
SGC,SGC,"Superior Group of Companies, Inc.",257047076,USD,257047076,257047076,USD,true,"Superior Group of Companies, Inc. manufactures and sells apparel and accessories in the United States and internationally. It operates through three segments: Uniforms and Related Products, Remote Staffing Solutions, and Promotional Products. The Uniforms and Related Products segment manufactures and sells a range of uniforms, corporate identity apparel, career apparel, and accessories for personnel of hospitals and healthcare facilities; hotels; food and other restaurants; retail stores; special purpose industrial facilities; commercial markets; transportation; public and private safety and security organizations; and miscellaneous service uses. It also provides various products directly related to uniforms and service apparel; industrial laundry bags for linen suppliers and industrial launderers; personal protective equipment; and promotional and related products for branded marketing programs, corporate awards, incentives and recognition programs, event promotions, employee and consumer rewards and incentives, and specialty packaging and displays. This segment sells its products under the Fashion Seal Healthcare, HPI, and WonderWink brand names. The Remote Staffing Solutions segment provides multilingual telemarketing and business process outsourced solutions through the recruitment and employment of qualified English-speaking agents. The Promotional Products segment produces and sells promotional products and other branded merchandise under the BAMKO, Public Identity, Tangerine, Gifts by Design, and Sutter's Mill brands to corporate clients and universities. The company was formerly known as Superior Uniform Group, Inc. and changed its name to Superior Group of Companies, Inc. in May 2018. Superior Group of Companies, Inc. was founded in 1920 and is headquartered in Seminole, Florida.",https://www.superiorgroupofcompanies.com,
LITB,LITB,"LightInTheBox Holding Co., Ltd.",20590711,USD,20590711,20590711,USD,true,"LightInTheBox Holding Co., Ltd. operates as a cross-border e-commerce platform that delivers products directly to its customers worldwide. The company provides customized, special occasion, and fast fashion apparel products; and other general merchandise products, such as accessories and gadgets, home garden products, toys and hobbies, electronics and communication devices, and other products. It also offers supplier chain management, research and development, customer, marketing, administrative and general support, logistic, warehouse management, and local delivery services, as well as engages in the product sourcing, marketing, and operation of its websites and mobile applications. The company provides its products through www.lightinthebox.com, www.miniinthebox.com, www.ezbuy.com, and other websites and mobile applications, which are available in 25 languages and cover approximately 140 countries and regions. LightInTheBox Holding Co., Ltd. was founded in 2007 and is headquartered in Shanghai, the People's Republic of China.",https://www.lightinthebox.com,
MGOL,MGOL,MGO Global Inc. Common Stock,4508092,USD,4508092,4508092,USD,true,"MGO Global, Inc. operates as a lifestyle brand portfolio company. The company is involved in the fashion design, brand development and management, sourcing and manufacturing, licensing, IP protection, corporate finance, consumer engagement and experience, ecommerce, and retail sales and marketing activities related to the Messi brand. It offers t-shirts and sweatshirts, jackets, polos, and pants for men; and t-shirts for women and kids, as well as bathrobes, graphic beach towels, rugs, posters, and keychains. The company was founded in 2018 and is headquartered in Fort Lauderdale, Florida.",https://www.mgoglobalinc.com,
